UIDN,OIDN,Ondernemingsnr,Maatschappelijke_naam,Commerciele_naam,Afgekorte_naam,Ondernemingsnr_maatsch_zetel,Type_onderneming,Rechtsvorm,Rechtstoestand,KBO_Straat,KBO_Huisnr,KBO_Busnr,KBO_Postcode,KBO_Gemeente,AR_straat,AR_huisnr,AR_busnr,AR_postcode,NACE_hoofdact_BTW,NACE_versie_BTW,Omschrijving_hoofdact_BTW,Aantal_hoofdact_BTW,NACE_hoofdact_RSZ,NACE_Versie_RSZ,Omschrijving_hoofdact_RSZ,Aantal_Hoofdact_RSZ,Personeelsklasse,Datum_inschrijving,Startdatum,longitude,latitude
10475987,6211644,0805268363,"Deel Vereniging van Mede-eigenaars van de ""Residentie Elsenhof"" te 2900 Schoten, Lodewijk Weijtenstraat 37 (Blok III)", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Lodewijk Weijtenstraat,37, ,2900,Schoten,Lodewijk Verheijenstraat,37, ,2900, , , ,0, , , ,0, ,2023-08-30T00:00:00Z,1995-08-01T00:00:00Z,4.46827116,51.25146031
10475991,6211648,0805269254,"Hoofd vereniging van Mede-eigenaars van de gebouwen te 2900 Schoten, Lodewijk Weijtenstraat 35-37", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Lodewijk Weijtenstraat,35-37, ,2900,Schoten,Lodewijk Verheijenstraat,35, ,2900, , , ,0, , , ,0, ,2023-08-30T00:00:00Z,1995-08-01T00:00:00Z,4.46831242,51.25139843
10475993,6211650,0805269848,"Deel Vereniging van Mede-eigenaars van het Garagegebouw III te 2900 Schoten, Lodewijk Weijtenstraat 35-37", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Lodewijk Weijtenstraat,35-37, ,2900,Schoten,Lodewijk Verheijenstraat,35, ,2900, , , ,0, , , ,0, ,2023-08-30T00:00:00Z,1995-08-01T00:00:00Z,4.46831242,51.25139843
10475995,6211652,0805270343,"Deel Vereniging van Mede-eigenaars van het Garagegebouw IV te 2900 Schoten, Lodewijk Weijtenstraat 35-37", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Lodewijk Weijtenstraat,35-37, ,2900,Schoten,Lodewijk Verheijenstraat,35, ,2900, , , ,0, , , ,0, ,2023-08-30T00:00:00Z,1995-08-01T00:00:00Z,4.46831242,51.25139843
10475996,6211653,0805270442,"Deel Vereniging van Mede-eigenaars van het Garagegebouw V te 2900 Schoten, Lodewijk Weijtenstraat 35-37", , , ,Rechtspersoon,Vereniging van Mede-eigenaars,Normale toestand,Lodewijk Weijtenstraat,35-37, ,2900,Schoten,Lodewijk Verheijenstraat,35, ,2900, , , ,0, , , ,0, ,2023-08-30T00:00:00Z,1995-08-01T00:00:00Z,4.46831242,51.25139843
10478068,6213725,2349031974,'t Kroontje, , ,0804080312, , , ,Eethuisstraat,95, ,2900,Schoten,Eethuisstraat,95, ,2900, , , ,0,47621,2025,Detailhandel in kranten en andere tijdschriften,1, ,2023-09-11T00:00:00Z,2023-07-18T00:00:00Z,4.46241438,51.24844596
10478211,6213868,2349460655,Fero 65,Fero 65, ,0805156814, , , ,Gelmelenstraat,7, ,2900,Schoten,Gelmelenstraat,7, ,2900, , , ,0, , , ,0, ,2023-09-21T00:00:00Z,2023-08-28T00:00:00Z,4.49695668,51.25189309
10478346,6214003,2349696128,Candor Consult,Candor Consult, ,0805912127, , , ,Goudvinkendreef,3, ,2900,Schoten,Goudvinkendreef,3, ,2900, , , ,0, , , ,0, ,2023-09-27T00:00:00Z,2023-10-01T00:00:00Z,4.52472932,51.2437017
10478492,6214149,2349933480,"Livens, Griet",Verilis, ,1000553614, , , ,Villerslei,174, ,2900,Schoten,Villerslei,174, ,2900, , , ,0, , , ,0, ,2023-10-02T00:00:00Z,2023-10-01T00:00:00Z,4.51973025,51.25118505
10478730,6214387,0816717036,Joeri Verlinde, , , ,Rechtspersoon,Vennootschap onder firma,Normale toestand,Rodeborgstraat,95, ,2900,Schoten,Rodeborgstraat,95, ,2900, , , ,0, , , ,0, ,2009-07-02T00:00:00Z,2009-07-01T00:00:00Z,4.50175855,51.25443702
